iter	Logloss
255	0.3454571749
256	0.3453245792
257	0.3452705711
258	0.345061964
259	0.3449778428
260	0.3449188227
261	0.3448585008
262	0.3448001917
263	0.3444101973
264	0.3443497415
265	0.3443000027
266	0.3442043421
267	0.3440555753
268	0.3437285824
269	0.343683961
270	0.3436395927
271	0.3435554386
272	0.3435048657
273	0.3434665494
274	0.3434084232
275	0.3433212758
276	0.3432789025
277	0.3432288767
278	0.3431845438
279	0.3431209698
280	0.3430249373
281	0.342967734
282	0.3429126102
283	0.3428367432
284	0.3427753596
285	0.3427195954
286	0.3426744415
287	0.3426276355
288	0.3425722692
289	0.3425167727
290	0.3424539723
291	0.3424063944
292	0.3423332217
293	0.3422806437
294	0.3422107823
295	0.3421736484
296	0.342090195
297	0.3420149062
298	0.3419400792
299	0.341881468
300	0.3418492795
301	0.3418078749
302	0.3417401339
303	0.3416891423
304	0.3416283423
305	0.3415729093
306	0.3414971345
307	0.3414490344
308	0.3413976364
309	0.341350136
310	0.3412905123
311	0.3412170212
312	0.3411744615
313	0.3411229598
314	0.3410836919
315	0.3410303938
316	0.3409871663
317	0.3409332267
318	0.340881954
319	0.3408296665
320	0.3407694703
321	0.3407242158
322	0.3406769881
323	0.3405992649
324	0.3405523054
325	0.3404718766
326	0.3401414902
327	0.3401037254
328	0.3400555644
329	0.3400105194
330	0.3399194545
331	0.3398618025
332	0.3398096385
333	0.3397668805
334	0.3397103217
335	0.3396478008
336	0.339591219
337	0.3395313045
338	0.3394507336
339	0.3392452113
340	0.3392028255
341	0.3391598995
342	0.339108059
343	0.3390439316
344	0.3389843734
345	0.3389386726
346	0.3388876797
347	0.338821471
348	0.338765801
349	0.3387081256
350	0.338649296
351	0.3385895762
352	0.3385427599
353	0.3384767905
354	0.33843689
355	0.3383774033
356	0.3383276825
357	0.3382639224
358	0.3381917125
359	0.3381370133
360	0.3380799366
361	0.3380344932
362	0.3379870242
363	0.3379140899
364	0.3378374894
365	0.3377811613
366	0.3377286724
367	0.33768171
368	0.3376367655
369	0.3374778158
370	0.3374383762
371	0.337376391
372	0.3373069696
373	0.3372599391
374	0.3371997046
375	0.3371460659
376	0.3370968195
377	0.337015761
378	0.3369435851
379	0.3368738347
380	0.3368257045
381	0.3367702303
382	0.3367187535
383	0.3366637281
384	0.3366146485
385	0.3365667025
386	0.3364947386
387	0.3364257733
388	0.3363771852
389	0.3363243562
390	0.3362761628
391	0.3362148559
392	0.3361616843
393	0.3361100501
394	0.3360587841
395	0.3360050977
396	0.3359587473
397	0.3359116075
398	0.3358253857
399	0.335771369
400	0.3357101939
401	0.3356703842
402	0.3356205938
403	0.335551755
404	0.335495837
405	0.3354092919
406	0.335348969
407	0.3352993343
408	0.335255977
409	0.3351884157
410	0.3351267501
411	0.3350643113
412	0.3350054689
413	0.3349244596
414	0.3348685374
415	0.3348148393
416	0.3347554181
417	0.3347077717
418	0.3346592956
419	0.3346247482
420	0.3345420549
421	0.3344744216
422	0.334395774
423	0.3343511607
424	0.3342960732
425	0.3342501742
426	0.3341973965
427	0.3341340817
428	0.3340748011
429	0.3340313098
430	0.3339715898
431	0.3339205936
432	0.3338658386
433	0.333807491
434	0.3337554395
435	0.3337094664
436	0.3336435828
437	0.3335694671
438	0.3334889505
439	0.3334342066
440	0.3333818388
441	0.3333323846
442	0.3332774087
443	0.3332176872
444	0.3331711064
445	0.3331159371
446	0.3330652898
447	0.33301366
448	0.3329391593
449	0.3329051681
450	0.332838241
451	0.3327684833
452	0.3327167171
453	0.3326626306
454	0.3326024661
455	0.332561004
456	0.3325014009
457	0.3324535859
458	0.3324038541
459	0.33233962
460	0.3322878498
461	0.3320036568
462	0.3319359383
463	0.3318924221
464	0.3318306546
465	0.3317757612
466	0.3317021871
467	0.3316466496
468	0.3315856416
469	0.3315074273
470	0.3314673668
471	0.3314174197
472	0.3313146886
473	0.3312595548
474	0.3312150329
475	0.3310889987
476	0.3310427894
477	0.3309867409
478	0.330939121
479	0.330896322
480	0.3308595518
481	0.3308086273
482	0.330526581
483	0.3304442718
484	0.3304013384
485	0.3303551124
486	0.3302864734
487	0.3302292708
488	0.3301651171
489	0.3300986555
490	0.3300507431
491	0.3299913855
492	0.3299371248
493	0.3298912139
494	0.3298236299
495	0.3297603013
